LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month,PAY_MEAN,PAY_STD,PAY_MAX,PAY_MIN,BILL_AMT_MEAN,BILL_AMT_STD,BILL_AMT_TOTAL,PAY_AMT_MEAN,PAY_AMT_TOTAL,AGE_BINNED,PAYMENT_RATIO,CREDIT_UTILIZATION
193524,1,4,3,20,4,3,2,2,7,6,132324,207839,200422,66676,485093,142067,19458,46092,596,14447,23228,11897,1,9645.166666666666,14387.131509116267,46092,2,205736.83333333334,146187.3739793101,1234421,19286.333333333332,115718,0,0.09374273444789602,6.37864554263875
475850,2,2,3,55,7,7,8,2,6,1,355632,229747,103380,66499,275827,366461,37793,8646,25060,14516,7608,37280,1,10911.166666666666,14649.913408576445,37793,1,232924.33333333334,125872.2153069003,1397546,21817.166666666668,130903,3,0.09366632654660836,2.936946516753311
368677,2,2,3,40,1,2,3,0,0,3,49992,174925,99842,11183,234056,54354,3649,28644,34876,10311,25779,22317,0,10465.416666666666,13500.00685156953,34876,0,104058.66666666667,84804.21209271782,624352,20929.333333333332,125576,2,0.20113013172024574,1.6934932203481814
303342,2,4,2,62,-2,3,5,7,-1,5,16772,313753,253184,24903,492233,376029,43258,29217,3641,23769,7887,33930,1,11809.916666666666,16076.15426908231,43258,-2,246145.66666666666,191629.61257349205,1476874,23617.0,141702,4,0.09594725074712132,4.868676279562775
86449,2,1,2,54,0,3,7,7,6,6,280199,392204,335946,131837,278478,22852,21510,18480,46935,25712,19922,42615,1,14600.25,17381.046511672106,46935,0,240252.66666666666,137346.50636061578,1441516,29195.666666666668,175174,3,0.12152067684290599,16.6747562144539
86437,1,1,2,32,2,6,-2,8,7,0,347413,324073,455809,32502,330558,101008,29064,17625,22937,10414,47132,26787,1,12831.666666666666,15820.191363819808,47132,-2,265227.1666666667,162441.27196179752,1591363,25659.833333333332,153959,1,0.09674662537705303,18.410669041979585
38460,2,2,3,68,0,1,1,-1,6,-1,397893,374103,251081,184439,166385,395982,37873,33429,46920,30428,17098,16797,0,15212.583333333334,17777.97489979887,46920,-1,294980.5,107457.9430358687,1769883,30424.166666666668,182545,4,0.10313958606297527,46.01879875075354
434426,1,1,2,29,8,-1,7,4,1,3,170108,452986,482919,416387,191057,371388,13302,19414,5369,36149,7639,38477,1,10031.0,14208.849419223987,38477,-1,347474.1666666667,134702.62579388224,2084845,20058.333333333332,120350,0,0.057726113931703446,4.799079705163137
304546,1,4,1,63,4,8,8,-2,6,1,3262,431773,470817,163160,297204,238163,44515,12755,47495,18692,29119,13259,1,13821.666666666666,17788.394921374664,47495,-2,267396.5,173651.8932655213,1604379,27639.166666666668,165835,4,0.10336398070524273,5.26810071383217
356955,1,1,1,66,6,8,-2,3,0,-2,239759,337029,432531,363917,34892,24991,48961,19956,5459,29272,30118,44575,1,14862.833333333334,18890.235600981956,48961,-2,238853.16666666666,173279.2914094661,1433119,29723.5,178341,4,0.12444256199232273,4.01484500846321
20086,1,2,2,29,3,6,6,3,4,5,7926,107318,249988,46954,127941,304946,24713,40383,23074,25115,9690,3571,1,10547.75,14065.688976597045,40383,3,140845.5,115425.2017849655,845073,21091.0,126546,0,0.1497456432756108,42.07273722781675
485255,1,4,1,65,7,-1,8,0,4,6,45992,318851,70451,329687,98405,203362,46846,48323,46899,9777,9829,41773,1,16955.916666666668,21776.387526853414,48323,-1,177791.33333333334,125554.11857309447,1066748,33907.833333333336,203447,4,0.19071702032702126,2.1983245922201764
417896,2,1,1,32,-2,7,4,-1,8,6,163344,253041,108952,158373,7946,158264,56,31797,11635,36500,49477,4577,0,11172.0,17709.358568539148,49477,-2,141653.33333333334,80473.83052313757,849920,22340.333333333332,134042,1,0.15771131400583854,2.033807454481417
114046,2,3,3,56,4,6,4,-1,5,-1,218586,358609,323835,374876,268450,320205,44711,39105,1739,40072,12164,2806,1,11717.833333333334,18203.918313640526,44711,-1,310760.1666666667,58218.09732863714,1864561,23432.833333333332,140597,3,0.0754048808271355,16.34920119937263
99094,2,4,2,57,0,-1,2,6,7,6,139734,416465,210877,68126,280526,218307,15552,26641,39655,32439,41909,18162,1,14531.5,16864.874942263337,41909,-1,222339.16666666666,119852.82700615228,1334035,29059.666666666668,174358,3,0.13069971927263474,13.462318606439721
99868,2,4,2,43,2,5,4,8,1,4,290932,371360,73400,448941,191969,46210,15574,31241,29794,16194,23516,47827,1,13680.833333333334,16412.078511285705,47827,1,237135.33333333334,161909.68030067463,1422812,27357.666666666668,164146,2,0.11536731486653516,14.246925942101106
159078,1,3,3,21,7,6,-1,2,0,2,27674,423280,239496,121288,134363,457975,11404,49404,25696,46339,21749,49174,1,16981.833333333332,20908.68279766407,49404,-1,234012.66666666666,173910.2464303546,1404076,33961.0,203766,0,0.1451246228835582,8.826336765556354
267130,2,3,1,41,1,7,1,4,0,4,72289,31933,8715,176568,326029,389246,15850,21920,1717,22767,14748,10103,1,7260.166666666667,9244.395027487868,22767,0,167463.33333333334,159399.60799784504,1004780,14517.5,87105,2,0.08669061884184927,3.7613895855809476
221653,1,4,1,36,7,6,4,2,2,6,347629,15810,366947,475090,67329,28189,10674,3312,32661,13293,38691,7431,1,8840.75,13425.401467672458,38691,2,216832.33333333334,202329.79807202562,1300994,17677.0,106062,1,0.0815238194795045,5.869507744059996
152702,2,3,2,55,2,7,0,4,8,5,71070,129250,36790,289241,259307,262531,45293,47850,8581,20411,44033,17647,0,15320.083333333334,19691.21457751854,47850,0,174698.16666666666,109376.70425719852,1048189,30635.833333333332,183815,3,0.17536436654059967,6.864278136456207
309807,1,2,1,33,2,6,-1,1,-2,3,319887,450333,314556,182885,384036,41688,44951,39653,46559,34603,13056,16854,1,16307.083333333334,19590.1779770946,46559,-2,282230.8333333333,147523.54588663692,1693385,32612.666666666668,195676,1,0.1155531671769175,5.465935243537215
