LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
193524,1,4,3,20,4,3,2,2,7,6,132324,207839,200422,66676,485093,142067,19458,46092,596,14447,23228,11897,1
475850,2,2,3,55,7,7,8,2,6,1,355632,229747,103380,66499,275827,366461,37793,8646,25060,14516,7608,37280,1
368677,2,2,3,40,1,2,3,0,0,3,49992,174925,99842,11183,234056,54354,3649,28644,34876,10311,25779,22317,0
303342,2,4,2,62,-2,3,5,7,-1,5,16772,313753,253184,24903,492233,376029,43258,29217,3641,23769,7887,33930,1
86449,2,1,2,54,0,3,7,7,6,6,280199,392204,335946,131837,278478,22852,21510,18480,46935,25712,19922,42615,1
86437,1,1,2,32,2,6,-2,8,7,0,347413,324073,455809,32502,330558,101008,29064,17625,22937,10414,47132,26787,1
38460,2,2,3,68,0,1,1,-1,6,-1,397893,374103,251081,184439,166385,395982,37873,33429,46920,30428,17098,16797,0
434426,1,1,2,29,8,-1,7,4,1,3,170108,452986,482919,416387,191057,371388,13302,19414,5369,36149,7639,38477,1
304546,1,4,1,63,4,8,8,-2,6,1,3262,431773,470817,163160,297204,238163,44515,12755,47495,18692,29119,13259,1
356955,1,1,1,66,6,8,-2,3,0,-2,239759,337029,432531,363917,34892,24991,48961,19956,5459,29272,30118,44575,1
20086,1,2,2,29,3,6,6,3,4,5,7926,107318,249988,46954,127941,304946,24713,40383,23074,25115,9690,3571,1
485255,1,4,1,65,7,-1,8,0,4,6,45992,318851,70451,329687,98405,203362,46846,48323,46899,9777,9829,41773,1
417896,2,1,1,32,-2,7,4,-1,8,6,163344,253041,108952,158373,7946,158264,56,31797,11635,36500,49477,4577,0
114046,2,3,3,56,4,6,4,-1,5,-1,218586,358609,323835,374876,268450,320205,44711,39105,1739,40072,12164,2806,1
99094,2,4,2,57,0,-1,2,6,7,6,139734,416465,210877,68126,280526,218307,15552,26641,39655,32439,41909,18162,1
99868,2,4,2,43,2,5,4,8,1,4,290932,371360,73400,448941,191969,46210,15574,31241,29794,16194,23516,47827,1
159078,1,3,3,21,7,6,-1,2,0,2,27674,423280,239496,121288,134363,457975,11404,49404,25696,46339,21749,49174,1
267130,2,3,1,41,1,7,1,4,0,4,72289,31933,8715,176568,326029,389246,15850,21920,1717,22767,14748,10103,1
221653,1,4,1,36,7,6,4,2,2,6,347629,15810,366947,475090,67329,28189,10674,3312,32661,13293,38691,7431,1
152702,2,3,2,55,2,7,0,4,8,5,71070,129250,36790,289241,259307,262531,45293,47850,8581,20411,44033,17647,0
309807,1,2,1,33,2,6,-1,1,-2,3,319887,450333,314556,182885,384036,41688,44951,39653,46559,34603,13056,16854,1
78351,1,2,3,29,3,-1,7,5,7,1,27342,411829,396505,474801,82148,418644,5110,19915,34286,42296,4754,37979,1
153150,2,2,3,54,7,1,-1,8,0,-2,203691,341363,66321,164538,376629,306506,7142,49119,35351,17828,6845,22199,0
189517,1,4,2,44,7,4,-2,7,3,3,88704,350379,259319,47435,380397,86224,43100,17276,11629,11631,39640,38994,1
233474,1,3,3,22,8,-1,2,8,0,0,54818,363335,389533,498424,29963,10370,19946,18606,44037,31324,21791,37435,1
394736,2,3,3,66,3,-2,3,7,2,3,283516,471301,130316,133922,9392,15790,8463,30486,26886,46060,6595,28915,1
107840,1,1,2,57,5,0,3,4,6,3,464167,416095,81458,425628,486967,253682,25533,13717,42854,9164,17014,41675,1
261974,2,1,3,36,5,1,6,7,-1,1,27393,311695,168409,82770,96691,367186,20833,34928,13547,40150,25711,9782,1
300283,2,3,3,31,8,5,1,2,8,-1,210777,332857,277349,365676,411069,60420,10958,7642,37773,23830,42602,8090,1
32760,2,3,3,43,6,3,-2,8,-1,6,353767,106870,287639,262224,280925,110642,36037,5401,28728,39975,32087,37532,0
307696,1,3,1,48,5,8,3,3,3,-1,231343,328659,65438,490453,132236,163629,31564,26743,2420,25277,8801,12239,1
93556,1,4,2,62,8,-1,2,2,3,0,403247,212339,228784,276415,64985,109038,4983,27774,20267,18866,7935,139,1
41875,1,3,2,44,-1,6,7,4,8,7,89822,76480,134141,12507,248338,195668,46269,5332,9195,34837,20616,45598,0
474953,2,1,2,55,7,-1,3,-1,8,-2,479797,403201,421012,301938,203677,279807,27923,48208,17958,45031,3759,31146,1
483159,1,4,1,45,8,2,0,2,5,4,192581,255123,156787,72658,349443,342468,12510,28664,19167,16012,37778,22246,1
406114,2,3,1,57,-2,1,-1,7,8,-2,170784,488712,419352,399270,452084,481887,10314,7551,23746,23037,20072,36286,0
159260,2,1,2,20,7,4,3,0,-1,8,437302,140839,214282,428284,402624,465421,6797,15572,30014,11470,17151,16666,0
57859,1,4,1,39,-1,5,-2,6,6,6,281933,240335,363292,241046,137226,285063,21231,40011,28548,9170,25455,47683,0
345274,2,3,2,47,-1,2,4,3,-1,8,258222,223997,255030,391610,439466,367075,6777,26161,1949,38894,35447,3431,1
225674,1,3,1,35,0,7,4,7,-2,8,363488,60389,310981,72555,416695,475436,20790,9407,37534,10033,28467,32047,1
69798,1,3,3,66,7,2,7,0,7,-2,289917,213057,197678,246039,464568,41735,7438,5142,47459,39665,40120,38864,0
252636,1,4,3,36,4,-1,4,4,-1,2,81257,143776,384103,196972,229330,2817,32840,21538,17434,21460,31468,23456,1
26850,1,1,2,59,-1,5,8,1,4,4,337098,80160,212594,305658,384287,14899,39262,16870,8987,49752,39398,37748,0
